going_out_day,place,is_stay,remarks
2020/07/09,スカイツリー,false,
2020/07/24,東京ディズニーシー,false,
2020/08/09,鎌倉(浴衣),false,
2020/08/11,サマーランド,false,
2020/08/14,茨城,false,
2020/08/18,熱海,false,
2020/08/20,富士急ハイランド,false,
2020/08/27,箱根,false,
2020/09/16,USJ,true,
2020/10/13,有馬温泉,true,
2020/11/04,琵琶湖テラス,true,
2020/12/26,江ノ島,false,
2021/03/06,スクランブルスクエア,false,
2021/05/31,ラコリーナ,true,
2021/06/27,神戸クルーズ船,true,
2021/09/03,ナガシマスパーランド,true,
2021/11/23,USJ,true,
2022/05/28,back numberライブ,false,
2022/06/19,高尾山,false,
2022/07/10,フォーシーズンズ東京大手町,true,
2022/07/18,沖ノ島,false,
2022/08/14,山梨,true,
2022/09/01,サマーランド,false,
2022/09/04,山梨グランピング,true,
2023/01/07,W大阪,true,
2023/03/31,ディズニーシー,true,
2023/04/22,埼玉〜栃木旅,false,
2023/05/01,稲毛海浜公園グランピング,true,
