amount_of_sales,source_of_income,year,monthly
0,テックビズ,2022年,1月度
273875,テックビズ,2022年,2月度
430500,テックビズ,2022年,3月度
404250,テックビズ,2022年,4月度
457000,テックビズ,2022年,5月度
547500,テックビズ,2022年,6月度
548982,テックビズ,2022年,7月度
554500,テックビズ,2022年,8月度
12930,DMM,2022年,8月度
400000,テックビズ,2022年,9月度
48487,DMM,2022年,9月度
500000,テックビズ,2022年,10月度
54000,DMM,2022年,10月度
500000,テックビズ,2022年,11月度
131400,DMM,2022年,11月度
500000,テックビズ,2022年,12月度
500000,テックビズ,2023年,1月度
126000,DMM,2023年,1月度
500000,テックビズ,2023年,2月度
108000,DMM,2023年,2月度
500000,テックビズ,2023年,3月度
110700,DMM,2023年,3月度
